entityRef,entityRefName,entityID
http://www.reactome.org/biopax/95/48887#ProteinReference10992,PRX,Q9BXM0
http://www.reactome.org/biopax/95/48887#ProteinReference10992,KIAA1620,Q9BXM0
http://www.reactome.org/biopax/95/48887#ProteinReference10992,UniProt:Q9BXM0 PRX,Q9BXM0
http://www.reactome.org/biopax/95/48887#ProteinReference6564,C9orf55B,Q5VZ89
http://www.reactome.org/biopax/95/48887#ProteinReference6564,UniProt:Q5VZ89 DENND4C,Q5VZ89
http://www.reactome.org/biopax/95/48887#ProteinReference6564,C9orf55,Q5VZ89
http://www.reactome.org/biopax/95/48887#ProteinReference6564,DENND4C,Q5VZ89
http://www.reactome.org/biopax/95/48887#ProteinReference6645,UniProt:O43615 TIMM44,O43615
http://www.reactome.org/biopax/95/48887#ProteinReference6645,TIMM44,O43615
http://www.reactome.org/biopax/95/48887#ProteinReference6645,TIM44,O43615
http://www.reactome.org/biopax/95/48887#ProteinReference6645,MIMT44,O43615
http://www.reactome.org/biopax/95/48887#ProteinReference4988,UniProt:Q9NX08 COMMD8,Q9NX08
http://www.reactome.org/biopax/95/48887#ProteinReference4988,MDS022,Q9NX08
http://www.reactome.org/biopax/95/48887#ProteinReference4988,COMMD8,Q9NX08
http://www.reactome.org/biopax/95/48887#ProteinReference3775,UniProt:Q9HD33 MRPL47,Q9HD33
http://www.reactome.org/biopax/95/48887#ProteinReference3775,NCM1,Q9HD33
http://www.reactome.org/biopax/95/48887#ProteinReference3775,CGI-204,Q9HD33
http://www.reactome.org/biopax/95/48887#ProteinReference3775,MRPL47,Q9HD33
http://www.reactome.org/biopax/95/48887#ProteinReference3421,LLH,Q02809
http://www.reactome.org/biopax/95/48887#ProteinReference3421,PLOD1,Q02809
http://www.reactome.org/biopax/95/48887#ProteinReference3421,UniProt:Q02809 PLOD1,Q02809
http://www.reactome.org/biopax/95/48887#ProteinReference3421,PLOD,Q02809
http://www.reactome.org/biopax/95/48887#ProteinReference6312,UniProt:Q8N1B4 VPS52,Q8N1B4
http://www.reactome.org/biopax/95/48887#ProteinReference6312,VPS52,Q8N1B4
http://www.reactome.org/biopax/95/48887#ProteinReference6312,SACM2L,Q8N1B4
http://www.reactome.org/biopax/95/48887#ProteinReference9422,hla,P09616
http://www.reactome.org/biopax/95/48887#ProteinReference9422,UniProt:P09616 hly,P09616
http://www.reactome.org/biopax/95/48887#ProteinReference9422,hly,P09616
