entityRef,entityRefName
reactome:ProteinReference8934,DDX3X
reactome:ProteinReference8934,DBX
reactome:ProteinReference8934,DDX3
reactome:ProteinReference10488,KIAA0460
reactome:ProteinReference10488,HSPC099
reactome:ProteinReference10488,UniProt:Q5VT52 RPRD2
reactome:ProteinReference10488,RPRD2
reactome:ProteinReference3844,KIAA1038
reactome:ProteinReference3844,HBS1L
reactome:ProteinReference3844,HBS1
reactome:ProteinReference3844,UniProt:Q9Y450-1 HBS1L
reactome:ProteinReference10680,GABPB
reactome:ProteinReference10680,E4TF1B
reactome:ProteinReference10680,GABPB2
reactome:ProteinReference10680,UniProt:Q06547-4 GABPB1
reactome:ProteinReference10680,GABPB1
reactome:ProteinReference9619,SLPI
reactome:ProteinReference9619,UniProt:P03973 SLPI
reactome:ProteinReference9619,WAP4
reactome:ProteinReference9619,WFDC4
reactome:ProteinReference3009,PDCD7
reactome:ProteinReference3009,UniProt:Q8N8D1 PDCD7
reactome:ProteinReference11514,UniProt:Q9UGI6 KCNN3
reactome:ProteinReference11514,KCNN3
reactome:ProteinReference11514,K3
reactome:ProteinReference9020,KAT8
reactome:ProteinReference9020,MYST1
reactome:ProteinReference9020,PP7073
reactome:ProteinReference9020,UniProt:Q9H7Z6 KAT8
reactome:ProteinReference9020,MOF
reactome:ProteinReference10624,UniProt:Q9NR33 POLE4
reactome:ProteinReference10624,POLE4
reactome:ProteinReference10919,DSCAML1
reactome:ProteinReference10919,DSCAM2
reactome:ProteinReference10919,UniProt:Q8TD84 DSCAML1
reactome:ProteinReference10919,KIAA1132
reactome:ProteinReference7966,UniProt:P42331 ARHGAP25
reactome:ProteinReference7966,KIAA0053
reactome:ProteinReference7966,ARHGAP25
reactome:ProteinReference4112,G19P1
reactome:ProteinReference4112,PRKCSH
reactome:ProteinReference4112,UniProt:P14314 PRKCSH
reactome:ProteinReference11726,OR1S1
reactome:ProteinReference11726,UniProt:Q8NH92 OR1S1
reactome:ProteinReference6012,CYRP
reactome:ProteinReference6012,UniProt:P21291 CSRP1
reactome:ProteinReference6012,CSRP
reactome:ProteinReference6012,CSRP1
reactome:ProteinReference3705,SRP9
reactome:ProteinReference3705,UniProt:P49458 SRP9
reactome:ProteinReference1884,FXN
