entity,id
http://smpdb.ca/pathways/#Protein/19544,P30730
http://smpdb.ca/pathways/#Protein/16530,Q6LDE7
http://smpdb.ca/pathways/#Protein/11651_Chloroplast,P10795
http://smpdb.ca/pathways/#Protein/20578_Cytoplasm,P23358
http://smpdb.ca/pathways/#Protein/13610_Mitochondrial_Matrix,Q8BPC6
http://smpdb.ca/pathways/#Protein/2432,Q9Y6A2
http://smpdb.ca/pathways/#Protein/Generic68_Cytoplasm,P0A7K6
http://smpdb.ca/pathways/#Protein/10898,P53045
http://smpdb.ca/pathways/#Protein/16135,Q5FVC9
http://smpdb.ca/pathways/#Protein/15937,Q9VRW3
http://smpdb.ca/pathways/#Protein/10942,Q00055
http://smpdb.ca/pathways/#Protein/22171,Q29RU4
http://smpdb.ca/pathways/#Protein/8561,Q04206
http://smpdb.ca/pathways/#Protein/16258_Endoplasmic_Reticulum_Membrane,Q2HJ61
http://smpdb.ca/pathways/#Protein/14779_Cytoplasm,P34517
http://smpdb.ca/pathways/#Protein/7874,P0A6G3
http://smpdb.ca/pathways/#Protein/5851_Cytosol,P00946
http://smpdb.ca/pathways/#Protein/635_Cytoplasm,P20132
http://smpdb.ca/pathways/#Protein/460_Endoplasmic_Reticulum_Membrane,P22310
http://smpdb.ca/pathways/#Protein/19842_Nucleus,F1MD46
http://smpdb.ca/pathways/#Protein/9982_Mitochondrial_Inner_Membrane,P32614
http://smpdb.ca/pathways/#Protein/13714_Cytoplasm,P17182
http://smpdb.ca/pathways/#Protein/14665_Extracellular_Space,P00751
http://smpdb.ca/pathways/#Protein/16895_Cytosol,Q8MUM1
http://smpdb.ca/pathways/#Protein/15231_Mitochondrion,P05708
http://smpdb.ca/pathways/#Protein/20403,P20352
http://smpdb.ca/pathways/#Protein/2411_Cytosol,P04818
http://smpdb.ca/pathways/#Protein/5918,P07023
http://smpdb.ca/pathways/#Protein/19641_Cytosol,A9QWQ7
http://smpdb.ca/pathways/#Protein/6507_Cytosol,P31572
http://smpdb.ca/pathways/#Protein/13934_Cytoplasm,Q91WG8
http://smpdb.ca/pathways/#Protein/10904_Endoplasmic_Reticulum,P54781
http://smpdb.ca/pathways/#Protein/955_Peroxisome,Q15126
http://smpdb.ca/pathways/#Protein/10904,P54781
http://smpdb.ca/pathways/#Protein/14871_Mitochondrial_Matrix,Q3MI01
