entity,entityName
http://smpdb.ca/pathways/#Protein/19870_Cytoplasm,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform
http://smpdb.ca/pathways/#Protein/19664_Cytoplasm,SHC-transforming protein 1
http://smpdb.ca/pathways/#Protein/19469_Nucleus,Mitogen-activated protein kinase 11
http://smpdb.ca/pathways/#Protein/198_Mitochondrion,"Dimethylglycine dehydrogenase, mitochondrial"
http://smpdb.ca/pathways/#Protein/16549_Peroxisome,Peroxisomal acyl-coenzyme A oxidase 2
http://smpdb.ca/pathways/#Protein/15500,"Cystinosin, lysosomal cystine transporter"
http://smpdb.ca/pathways/#Protein/11124,Glutamine synthetase cytosolic isozyme 1-5
http://smpdb.ca/pathways/#Protein/16932_Cytosol,Beclin-1-like protein
http://smpdb.ca/pathways/#Protein/13898_Cytosol,Glutamine-dependent NAD(+) synthetase
http://smpdb.ca/pathways/#Protein/13876_Cytosol,Carbohydrate sulfotransferase 10
http://smpdb.ca/pathways/#Protein/21528_Cytoplasm,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial"
http://smpdb.ca/pathways/#Protein/21748_Cytoplasm,Proteasome subunit beta type-7
http://smpdb.ca/pathways/#Protein/11007_Nucleus,Nitrogen regulatory protein GLN3
http://smpdb.ca/pathways/#Protein/17630_Extracellular_Space,Thyroglobulin
http://smpdb.ca/pathways/#Protein/7758_Cytosol,Unknown
http://smpdb.ca/pathways/#Protein/16942_Mitochondrion,"5-aminolevulinate synthase, nonspecific, mitochondrial"
http://smpdb.ca/pathways/#Protein/16825_Cytosol,NADH pyrophosphatase
http://smpdb.ca/pathways/#Protein/3717_Cytosol,Serine/threonine-protein kinase PAK 1
http://smpdb.ca/pathways/#Protein/22113_Membrane,Growth hormone receptor
http://smpdb.ca/pathways/#Protein/14858_Mitochondrion,"Dihydrolipoyl dehydrogenase, mitochondrial"
http://smpdb.ca/pathways/#Protein/447_Mitochondrion,"Glycine amidinotransferase, mitochondrial"
http://smpdb.ca/pathways/#Protein/7725_Peroxisome,Unknown
http://smpdb.ca/pathways/#Protein/15821_Cytoplasm,RFK protein
http://smpdb.ca/pathways/#Protein/5900_Cytosol,Alpha-galactosidase
http://smpdb.ca/pathways/#Protein/15490_Cytoplasm,3-mercaptopyruvate sulfurtransferase
http://smpdb.ca/pathways/#Protein/12999_Cytosol,Bifunctional purine biosynthesis protein PurH
http://smpdb.ca/pathways/#Protein/16624_Mitochondrial_Inner_Membrane,"Cytochrome P450 11B1, mitochondrial"
http://smpdb.ca/pathways/#Protein/1862_Cell_Membrane,ATP-binding cassette sub-family G member 2
http://smpdb.ca/pathways/#Protein/10523_Cytosol,Aldehyde dehydrogenase [NAD(P)+] 2
http://smpdb.ca/pathways/#Protein/14888,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial"
http://smpdb.ca/pathways/#Protein/135_Mitochondrial_Inner_Membrane,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
http://smpdb.ca/pathways/#Protein/10537,cystathionine beta-lyase
http://smpdb.ca/pathways/#Protein/11602_Cytosol,diglyceride lipase
http://smpdb.ca/pathways/#Protein/12188_Inner_Membrane,NADH-quinone oxidoreductase subunit C/D
http://smpdb.ca/pathways/#Protein/10658_Cytosol,Glycerol-3-phosphate O-acyltransferase 2
http://smpdb.ca/pathways/#Protein/17083_Mitochondrial_Matrix,"5-aminolevulinate synthase, erythroid-specific, mitochondrial"
http://smpdb.ca/pathways/#Protein/19564_Extracellular_Space,Uncharacterized protein
http://smpdb.ca/pathways/#Protein/13068,NADPH-dependent 7-cyano-7-deazaguanine reductase
http://smpdb.ca/pathways/#Protein/1948_Cell_Membrane,P2Y purinoceptor 2
http://smpdb.ca/pathways/#Protein/5976,Acetate kinase
http://smpdb.ca/pathways/#Protein/Generic16_Mitochondrial_Matrix,Ferrocytochrome c
http://smpdb.ca/pathways/#Protein/17266_Endoplasmic_Reticulum,Very-long-chain 3-oxoacyl-CoA reductase
http://smpdb.ca/pathways/#Protein/5941,Isocitrate dehydrogenase [NADP]
http://smpdb.ca/pathways/#Protein/15579_Cytoplasm,CG7560
http://smpdb.ca/pathways/#Protein/447_Mitochondrial_Matrix,"Glycine amidinotransferase, mitochondrial"
http://smpdb.ca/pathways/#Protein/5922,Valyl-tRNA synthetase
http://smpdb.ca/pathways/#Protein/13001_Cytosol,Methionyl-tRNA formyltransferase
http://smpdb.ca/pathways/#Protein/11274_Mitochondrial_Inner_Membrane,transacylase Taz1p
http://smpdb.ca/pathways/#Protein/17484_Cytosol,Protein disulfide-isomerase A4
http://smpdb.ca/pathways/#Protein/13722_Cytosol,Phosphoserine phosphatase
http://smpdb.ca/pathways/#Protein/1601_Cell_Membrane,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
http://smpdb.ca/pathways/#Protein/16785_Cytosol,Thioredoxin
http://smpdb.ca/pathways/#Protein/14629_Cytoplasm,GMP synthase [glutamine-hydrolyzing]
http://smpdb.ca/pathways/#Protein/5996,D-amino acid dehydrogenase small subunit
http://smpdb.ca/pathways/#Protein/11862,Putative uncharacterized protein
http://smpdb.ca/pathways/#Protein/11475_Cytosol,Nudix hydrolase 1
http://smpdb.ca/pathways/#Protein/15131_Endoplasmic_Reticulum,Elongation of very long chain fatty acids protein 6
http://smpdb.ca/pathways/#Protein/5897,Bifunctional protein BirA
http://smpdb.ca/pathways/#Protein/11949,NAD/NADP-dependent betaine aldehyde dehydrogenase
http://smpdb.ca/pathways/#Protein/17308_Cell_Membrane,Sodium/potassium-transporting ATPase subunit alpha-1
http://smpdb.ca/pathways/#Protein/1494_Cytosol,Ribose-5-phosphate isomerase
http://smpdb.ca/pathways/#Protein/19695_Cytosol,Ribosomal protein S6 kinase beta-1
http://smpdb.ca/pathways/#Protein/17038_Cell_Membrane,Ceramide kinase 1
http://smpdb.ca/pathways/#Protein/19616_Cytosol,Ras-related C3 botulinum toxin substrate 1
http://smpdb.ca/pathways/#Protein/20767_Cytoplasm,40S ribosomal protein SA
http://smpdb.ca/pathways/#Protein/5994_Cytosol,Dephospho-CoA kinase
http://smpdb.ca/pathways/#Protein/2241,Excitatory amino acid transporter 3
http://smpdb.ca/pathways/#Protein/7446,Outer membrane protein tolC
http://smpdb.ca/pathways/#Protein/19503_Cell_Membrane,Inhibitor of nuclear factor kappa-B kinase subunit alpha
http://smpdb.ca/pathways/#Protein/16827_Cytosol,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2
http://smpdb.ca/pathways/#Protein/13913_Mitochondrial_Intermembrane_Space,"Aspartate aminotransferase, mitochondrial"
http://smpdb.ca/pathways/#Protein/17711_Mitochondrion,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1
http://smpdb.ca/pathways/#Protein/21015_Cytoplasm,Tyrosine-protein kinase JAK2
http://smpdb.ca/pathways/#Protein/20954,Ubiquitin-like modifier-activating enzyme 1
http://smpdb.ca/pathways/#Protein/Generic174,dihydrolipoylprotein
http://smpdb.ca/pathways/#Protein/14671_Nucleus,Transcription factor E2F1
http://smpdb.ca/pathways/#Protein/15676_Cytosol,Glyceraldehyde-3-phosphate dehydrogenase
http://smpdb.ca/pathways/#Protein/16733_Cytoplasm,Inosine-5'-monophosphate dehydrogenase 1
http://smpdb.ca/pathways/#Protein/15366_Cell_Membrane,Membrane primary amine oxidase
http://smpdb.ca/pathways/#Protein/6401,Phosphatase ybhA
http://smpdb.ca/pathways/#Protein/910_Cytoplasm,Arachidonate 5-lipoxygenase
http://smpdb.ca/pathways/#Protein/7590,Sensor protein creC
