PRAF3	abstraction:ControlsTransportOfChemical	H+
NCKX1	abstraction:ControlsTransportOfChemical	K(+)
S36A1	abstraction:ControlsTransportOfChemical	H+
FUCT1	abstraction:ControlsTransportOfChemical	GMP
SC5A5	abstraction:ControlsTransportOfChemical	I(-)
SC6A2	abstraction:ControlsTransportOfChemical	sodium(1+)
DIC	abstraction:ControlsTransportOfChemical	hydrogen phosphate
S22A4	abstraction:ControlsTransportOfChemical	sodium(1+)
SC5A5	abstraction:ControlsTransportOfChemical	sodium(1+)
SATT	abstraction:ControlsTransportOfChemical	(2S,3R)-2-ammonio-3-hydroxybutanoate
AAAT	abstraction:ControlsTransportOfChemical	(2S)-2-ammoniopropanoate
MCAT	abstraction:ControlsTransportOfChemical	L-Carnitine
SC5A1	abstraction:ControlsTransportOfChemical	sodium(1+)
A5H8A5	abstraction:ControlsTransportOfChemical	H+
S22AD	abstraction:ControlsTransportOfChemical	Urate
G6PT1	abstraction:ControlsTransportOfChemical	alpha-D-glucopyranose 6-phosphate
VIAAT	abstraction:ControlsTransportOfChemical	4-aminobutanoate
CABP2	abstraction:ControlsTransportOfChemical	calcium(II) cation
ZNT2	abstraction:ControlsTransportOfChemical	H+
ZNT5	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
MDR1	abstraction:ControlsTransportOfChemical	11152
S12A3	abstraction:ControlsTransportOfChemical	sodium(1+)
SC6A3	abstraction:ControlsTransportOfChemical	Chlorine anion
S13A1	abstraction:ControlsTransportOfChemical	Sulfate anion(2-)
O00476-2	abstraction:ControlsTransportOfChemical	Urate
S35D2	abstraction:ControlsTransportOfChemical	UDP-alpha-D-glucuronate trianion
S28A3	abstraction:ControlsTransportOfChemical	sodium(1+)
SORCN	abstraction:ControlsTransportOfChemical	H+
S38A3	abstraction:ControlsTransportOfChemical	H+
S4A4	abstraction:ControlsTransportOfChemical	hydroxidodioxidocarbonate(1-)
SC6A7	abstraction:ControlsTransportOfChemical	L-proline
MDR3	abstraction:ControlsTransportOfChemical	1,2-diacyl-sn-glycero-3-phosphocholine betaine
MOG1	abstraction:ControlsTransportOfChemical	sodium(1+)
S35A1	abstraction:ControlsTransportOfChemical	CMP
SC6A6	abstraction:ControlsTransportOfChemical	Chlorine anion
NCKX1	abstraction:ControlsTransportOfChemical	sodium(1+)
VDAC1	abstraction:ControlsTransportOfChemical	pyruvate
KCNJ2	abstraction:ControlsTransportOfChemical	K(+)
GLTP	abstraction:ControlsTransportOfChemical	glycosphingolipids
S38A1	abstraction:ControlsTransportOfChemical	sodium(1+)
SL9A9	abstraction:ControlsTransportOfChemical	H+
SL9C1	abstraction:ControlsTransportOfChemical	H+
TTYH1	abstraction:ControlsTransportOfChemical	Chlorine anion
S35A3	abstraction:ControlsTransportOfChemical	uridine 5'-phosphate
SATT	abstraction:ControlsTransportOfChemical	(2S)-2-ammoniopropanoate
SARCO	abstraction:ControlsTransportOfChemical	H+
SC6A4	abstraction:ControlsTransportOfChemical	sodium(1+)
STAR7	abstraction:ControlsTransportOfChemical	1,2-diacyl-sn-glycero-3-phosphocholine betaine
ZNT1	abstraction:ControlsTransportOfChemical	zinc, ion (Zn2+)
NCKX5	abstraction:ControlsTransportOfChemical	K(+)
SC5A7	abstraction:ControlsTransportOfChemical	Choline
